"CUSTOMER_NO","CUSTOMER_NAME","ORDER_NO","LINE_NO","REL_NO","LINE_STATE","AGREEMENT_ID","CATALOG_NO","CATALOG_DESC","CONDITION_CODE","IFSAPP.CONDITION_CODE_API.GET_DESCRIPTION(CONDITION_CODE)","CONTRACT","BUY_QTY_DUE","IFSAPP.SALES_PART_API.GET_SALES_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","(L.BUY_QTY_DUE+(L.QTY_SHIPDIFF/DECODE(L.CONV_FACTOR,0,1,L.CONV_FACTOR*L.INVERTED_CONV_FACTOR))-L.QTY_INVOICED)*L.PRICE_CONV_FACT","IFSAPP.SALES_PART_API.GET_PRICE_UNIT_MEAS(L.CONTRACT,L.CATALOG_NO)","NVL(L.BASE_SALE_UNIT_PRICE,0)*((100-NVL(L.DISCOUNT,0))/100)*((100-NVL(L.ORDER_DISCOUNT,0))/100)*((100-NVL(L.ADDITIONAL_DISCOUNT,","PLANNED_DELIVERY_DATE","IFSAPP.CUSTOMER_ORDER_LINE_API.GET_BACKLOG_VALUE_BASE_CURR__(ORDER_NO,LINE_NO,REL_NO,LINE_ITEM_NO)","IFSAPP.COMPANY_FINANCE_API.GET_CURRENCY_CODE(IFSAPP.SITE_API.GET_COMPANY(L.CONTRACT))","IFSAPP.CUST_ORD_CUSTOMER_API.GET_CUST_GRP(L.CUSTOMER_NO)","IFSAPP.SALES_PART_API.GET_CATALOG_GROUP(L.CONTRACT,L.CATALOG_NO)","REGION_CODE","DISTRICT_CODE","MARKET_CODE","DECODE(L.DEFAULT_ADDR_FLAG_DB,'N',DECODE(L.ADDR_FLAG_DB,'Y',IFSAPP.CUST_ORDER_LINE_ADDRESS_API.GET_COUNTRY_CODE(L.ORDER_NO,L.LIN","SALESMAN_CODE","AUTHORIZE_CODE","PRICE_LIST_NO","PRIORITY","LINE_ITEM_NO"
"HEAIN","HEART INDUSTRIES LTD","E5172","1","1","Reserved","","PC1021","MLPT10 - CANADA TRUE MAPLE BLACK TEA 10 PYRAMID BAGS PAPER CANISTER (12X10X2G)","","","GSTEA","125","MCN","1500","PKS","330","7/24/2026","495000","LKR","EXPORT","TCAN","","","","CA","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","1","1","Reserved","","PT1144","ADEMAC - MUSE CAFE 17119 LEMON GINGER CAFFEINE FREE 100 PYRAMID TB IN STANDUP BAG (10X100X2G)","","","GSTEA","2","MCN","20","PKS","2355.0318","7/8/2026","47100.64","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","2","1","Reserved","","PT1178","ADEMAC - MUSE CAFE ENGLISH BREAKFAST LEAFY 100 PYRAMID TB IN STANDUP BAG (10X100X2.5G)","","","GSTEA","1","MCN","10","PKS","2125.2726","7/8/2026","21252.73","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","3","1","Reserved","","PT1149","ADEMAC - MUSE CAFE 17124 CALMING HERBAL CAFFEINE FREE 100 PYRAMID TB IN STANDUP BAG (10X100X2G)","","","GSTEA","1","MCN","10","PKS","3478.299","7/8/2026","34782.99","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","4","1","Reserved","","PT1145","ADEMAC - MUSE CAFE 17120 ROSE CHAMOMILE CAFFEINE FREE 100 PYRAMID TB IN STANDUP BAG (10X100X2G)","","","GSTEA","2","MCN","20","PKS","4173.9588","7/8/2026","83479.18","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"ADEMA","ADEMAC MARKETING","E5138","5","1","Reserved","","PT1179","ADEMAC - MUSE CAFE EARL GREY CORN FLOWER LEAFY 100 PYRAMID TB IN STANDUP BAG (10X100X2.5G)","","","GSTEA","1","MCN","10","PKS","2166.7569","7/8/2026","21667.57","LKR","EXPORT","TNOB","","","","SG","","DILFEGSTS","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240259","1","1","Reserved","","TIL02","Bifilac Granules (sachets) (15's)","","","GSH1N","400","PACKS","400","PACKS","1936.78","7/30/2026","774712","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240259","2","1","Reserved","","TIL14","AMINOPLUS Syrup 200ml (1's)","","","GSH1N","50","BOT","50","BOT","1202.07","7/30/2026","60103.5","LKR","DISTRI","TIL HEALTH","","","DISTRI","LK","","GEMABE050","","","0"
"DIS002","The West Central Pharma (Pvt) Ltd.","C240006","1","2","Reserved","","PUN143","Metrogyl Denta Gel 20gm","","","GSH1N","600","TUB","600","TUB","377.01","7/28/2026","226206","LKR","DISTRI","ARR U (B)","","","DISTRI","LK","","GEMABE050","","","0"
"SUNDRY DEBTORS","Sundry Debtors","C238958","1","1","Reserved","","UBPL24-F","Egybort Inj 2mg-(FG)","","","GSH1N","3","VLS","3","VLS","0","7/13/2026","0","LKR","SUNDRY","UNITED BIO","","","SUNDRY","LK","","GEMABE050","","","0"
